<doc id="fb_17610409_JohannGeorgR.html" attrs="word lemma ana pos id join part"title="Todesurteil Johann Georg R." date="17610409">
<p id=fb_17610409_JohannGeorgR_p_0001>
<g/>
,	no	#fs_tu_77_xTok_000191	$,	tu_77_xTok_000191	no	no
folgends	folgends	#fs_tu_77_xTok_000193	ADV	tu_77_xTok_000193	no	no
in	in	#fs_tu_77_xTok_000195	APPR	tu_77_xTok_000195	no	no
ein	ein	#fs_tu_77_xTok_000197	ART	tu_77_xTok_000197	no	no
sicheres	sicher	#fs_tu_77_xTok_000199	ADJA	tu_77_xTok_000199	no	no
Kloster	Kloster	#fs_tu_77_xTok_000201	NN	tu_77_xTok_000201	no	no
zu	zu	#fs_tu_77_xTok_000203	APPR	tu_77_xTok_000203	no	no
Ofen	Ofen	#fs_tu_77_xTok_000205	NE::top	tu_77_xTok_000205	no	no
in	in	#fs_tu_77_xTok_000207	APPR	tu_77_xTok_000207	no	no
die	d	#fs_tu_77_xTok_000209	ART	tu_77_xTok_000209	no	no
Arbeit	Arbeit	#fs_tu_77_xTok_000210	NN	tu_77_xTok_000210	no	no
nach	nach	#fs_tu_77_xTok_000217	APPR	tu_77_xTok_000217	no	no
allda	allda	#fs_tu_77_xTok_000219	ADV	tu_77_xTok_000219	no	no
erhaltener	erhalten	#fs_tu_77_xTok_000221	ADJA	tu_77_xTok_000221	no	no
Kundschaft	Kundschaft	#fs_tu_77_xTok_000223	NN	tu_77_xTok_000223	no	no
auf	auf	#fs_tu_77_xTok_000226	APPR	tu_77_xTok_000226	no	no
dieses	diese	#fs_tu_77_xTok_000228	PDAT	tu_77_xTok_000228	no	no
sein	sein	#fs_tu_77_xTok_000230	PPOSAT	tu_77_xTok_000230	no	no
Handwerk	Handwerk	#fs_tu_77_xTok_000232	NN	tu_77_xTok_000232	no	no
sowol	sowohl	#fs_tu_77_xTok_000234	KON	tu_77_xTok_000234	no	no
hier	hier	#fs_tu_77_xTok_000236	ADV	tu_77_xTok_000236	no	no
zu	zu	#fs_tu_77_xTok_000238	APPR	tu_77_xTok_000238	no	no
Land	Land	#fs_tu_77_xTok_000240	NN	tu_77_xTok_000240	right	no
<g/>
,	no	#fs_tu_77_xTok_000241	$,	tu_77_xTok_000241	no	no
als	als	#fs_tu_77_xTok_000243	KON	tu_77_xTok_000243	no	no
auch	auch	#fs_tu_77_xTok_000244	ADV	tu_77_xTok_000244	no	no
in	in	#fs_tu_77_xTok_000246	APPR	tu_77_xTok_000246	no	no
Steyermarkt	Steiermark	#fs_tu_77_xTok_000248	NE::top	tu_77_xTok_000248	no	no
drey	drei	#fs_tu_77_xTok_000250	CARD	tu_77_xTok_000250	no	no
Jahr	Jahr	#fs_tu_77_xTok_000252	NN	tu_77_xTok_000252	no	no
lang	lang	#fs_tu_77_xTok_000254	ADJD	tu_77_xTok_000254	no	no
herum	herum	#fs_tu_77_xTok_000256	PTKVZ	tu_77_xTok_000256	no	no
gewandert	herumwandern	#fs_tu_77_xTok_000258	VVPP	tu_77_xTok_000258	right	no
<g/>
,	no	#fs_tu_77_xTok_000259	$,	tu_77_xTok_000259	no	no
und	und	#fs_tu_77_xTok_000260	KON	tu_77_xTok_000260	no	no
in so lang	insolang	no	ADV	tu_77_xTok_000262	no	no
seiner	sein	#fs_tu_77_xTok_000268	PPOSAT	tu_77_xTok_000268	no	no
Profeßion	Profession	#fs_tu_77_xTok_000270	NN	tu_77_xTok_000270	no	no
nachgegangen	nachgehen	#fs_tu_77_xTok_000272	VVPP	tu_77_xTok_000272	right	no
<g/>
,	no	#fs_tu_77_xTok_000273	$,	tu_77_xTok_000273	no	no
bis	bis	#fs_tu_77_xTok_000275	KOUS	tu_77_xTok_000275	no	no
selber	selbe	#fs_tu_77_xTok_000277	PDS	tu_77_xTok_000277	no	no
Anno	annus	#fs_tu_77_xTok_000280	FM	tu_77_xTok_000280	no	no
1758.	1758	#fs_tu_77_xTok_000282	CARD	tu_77_xTok_000282	no	no
im	im	#fs_tu_77_xTok_000284	APPRART	tu_77_xTok_000284	no	no
Fasching	Fasching	#fs_tu_77_xTok_000286	NN	tu_77_xTok_000286	no	no
zur	zur	#fs_tu_77_xTok_000288	APPRART	tu_77_xTok_000288	no	no
spaten	spät	#fs_tu_77_xTok_000290	ADJA	tu_77_xTok_000290	no	no
Nachts=zeit	Nachtzeit	#fs_tu_77_xTok_000292	NN	tu_77_xTok_000292	no	no
in	in	#fs_tu_77_xTok_000294	APPR	tu_77_xTok_000294	no	no
einem	ein	#fs_tu_77_xTok_000295	ART	tu_77_xTok_000295	no	no
Wirts=haus	Wirtshaus	#fs_tu_77_xTok_000297	NN	tu_77_xTok_000297	no	no
am	am	#fs_tu_77_xTok_000299	APPRART	tu_77_xTok_000299	no	no
alten Lerchen=feld	AltesLerchenfeld	no	NE::top	tu_77_xTok_000301	no	no
aufgehoben	aufheben	#fs_tu_77_xTok_000305	VVPP	tu_77_xTok_000305	right	no
<g/>
,	no	#fs_tu_77_xTok_000306	$,	tu_77_xTok_000306	no	no
des	d	#fs_tu_77_xTok_000307	ART	tu_77_xTok_000307	no	no
anderen	andere	#fs_tu_77_xTok_000309	ADJA	tu_77_xTok_000309	no	no
Tags	Tag	#fs_tu_77_xTok_000311	NN	tu_77_xTok_000311	no	no
gegen	gegen	#fs_tu_77_xTok_000314	APPR	tu_77_xTok_000314	no	no
empfangenen	empfangen	#fs_tu_77_xTok_000316	ADJA	tu_77_xTok_000316	no	no
50.	50	#fs_tu_77_xTok_000318	CARD	tu_77_xTok_000318	no	no
Fl.	Flore	#fs_tu_77_xTok_000320	NN	tu_77_xTok_000320	no	no
Handgeld	Handgeld	#fs_tu_77_xTok_000323	NN	tu_77_xTok_000323	no	no
in	in	#fs_tu_77_xTok_000326	APPR	tu_77_xTok_000326	no	no
dem	d	#fs_tu_77_xTok_000328	ART	tu_77_xTok_000328	no	no
allhiesigen	allhiesig	#fs_tu_77_xTok_000330	ADJA	tu_77_xTok_000330	no	no
Landhaus	Landhaus	#fs_tu_77_xTok_000332	NN	tu_77_xTok_000332	no	no
freywillig	freiwillig	#fs_tu_77_xTok_000334	ADJD	tu_77_xTok_000334	no	no
assentiret	assentieren	#fs_tu_77_xTok_000336	VVPP	tu_77_xTok_000336	right	no
<g/>
,	no	#fs_tu_77_xTok_000337	$,	tu_77_xTok_000337	no	no
und	und	#fs_tu_77_xTok_000338	KON	tu_77_xTok_000338	no	no
dem	d	#fs_tu_77_xTok_000340	ART	tu_77_xTok_000340	no	no
Löbl.	löblich	#fs_tu_77_xTok_000342	ADJA	tu_77_xTok_000342	no	no
Kaiserl.	kaiserlich	#fs_tu_77_xTok_000345	ADJA	tu_77_xTok_000345	no	no
Königl.	königlich	#fs_tu_77_xTok_000348	ADJA	tu_77_xTok_000348	no	no
Waldeggischen	Waldeggisch	#fs_tu_77_xTok_000351	ADJA	tu_77_xTok_000351	no	no
Jnfanterie=regiment	Infanterieregiment	#fs_tu_77_xTok_000353	NN	tu_77_xTok_000353	no	no
zugetheilet	zuteilen	#fs_tu_77_xTok_000356	VVPP	tu_77_xTok_000356	no	no
worden	werden	#fs_tu_77_xTok_000358	VAPP	tu_77_xTok_000358	right	no
<g/>
;	no	#fs_tu_77_xTok_000359	$.	tu_77_xTok_000359	no	no
sintemalen	sintemalen	#fs_tu_77_xTok_000361	KOUS	tu_77_xTok_000361	no	no
aber	aber	#fs_tu_77_xTok_000363	ADV	tu_77_xTok_000363	no	no
er	er	#fs_tu_77_xTok_000365	PPER	tu_77_xTok_000365	no	no
Delinquent	Delinquent	#fs_tu_77_xTok_000366	NN	tu_77_xTok_000366	no	no
in	in	#fs_tu_77_xTok_000368	APPR	tu_77_xTok_000368	no	no
6.	6	#fs_tu_77_xTok_000370	CARD	tu_77_xTok_000370	no	no
Wochen	Woche	#fs_tu_77_xTok_000372	NN	tu_77_xTok_000372	no	no
darauf	darauf	#fs_tu_77_xTok_000374	PAV	tu_77_xTok_000374	right	no
<g/>
,	no	#fs_tu_77_xTok_000375	$,	tu_77_xTok_000375	no	no
nämlich	nämlich	#fs_tu_77_xTok_000377	ADV	tu_77_xTok_000377	no	no
am	am	#fs_tu_77_xTok_000379	APPRART	tu_77_xTok_000379	no	no
Palmsamstag	Palmsamstag	#fs_tu_77_xTok_000381	NN	tu_77_xTok_000381	no	no
erst=bemeldten	erstbemeldet	#fs_tu_77_xTok_000384	ADJA	tu_77_xTok_000384	no	no
Jahrs	Jahr	#fs_tu_77_xTok_000386	NN	tu_77_xTok_000386	no	no
mit	mit	#fs_tu_77_xTok_000388	APPR	tu_77_xTok_000388	no	no
Beyhülf	Beihilfe	#fs_tu_77_xTok_000390	NN	tu_77_xTok_000390	no	no
einer	ein	#fs_tu_77_xTok_000392	ART	tu_77_xTok_000392	no	no
sicheren	sicher	#fs_tu_77_xTok_000394	ADJA	tu_77_xTok_000394	no	no
nunmehro	nunmehro	#fs_tu_77_xTok_000397	ADV	tu_77_xTok_000397	no	no
auf	auf	#fs_tu_77_xTok_000399	APPR	tu_77_xTok_000399	no	no
10.	10	#fs_tu_77_xTok_000401	CARD	tu_77_xTok_000401	no	no
Jahr	Jahr	#fs_tu_77_xTok_000403	NN	tu_77_xTok_000403	no	no
zu	zu	#fs_tu_77_xTok_000405	APPR	tu_77_xTok_000405	no	no
einer	ein	#fs_tu_77_xTok_000407	ART	tu_77_xTok_000407	no	no
innländischen	inländisch	#fs_tu_77_xTok_000409	ADJA	tu_77_xTok_000409	no	no
Schanz=arbeit	Schanzarbeit	#fs_tu_77_xTok_000410	NN	tu_77_xTok_000410	no	no
in	in	#fs_tu_77_xTok_000412	APPR	tu_77_xTok_000412	no	no
Eisen	Eisen	#fs_tu_77_xTok_000414	NN	tu_77_xTok_000414	right	no
<g/>
,	no	#fs_tu_77_xTok_000415	$,	tu_77_xTok_000415	no	no
und	und	#fs_tu_77_xTok_000417	KON	tu_77_xTok_000417	no	no
Banden	Band	#fs_tu_77_xTok_000419	NN	tu_77_xTok_000419	no	no
verurtheilten	verurteilen	#fs_tu_77_xTok_000421	ADJA	tu_77_xTok_000421	no	no
Manns=person	Mannsperson	#fs_tu_77_xTok_000422	NN	tu_77_xTok_000422	no	no
boßhaft	boshaft	#fs_tu_77_xTok_000424	ADJD	tu_77_xTok_000424	no	no
entwichen	entweichen	#fs_tu_77_xTok_000426	VVPP	tu_77_xTok_000426	right	no
<g/>
,	no	#fs_tu_77_xTok_000427	$,	tu_77_xTok_000427	no	no
und	und	#fs_tu_77_xTok_000429	KON	tu_77_xTok_000429	no	no
desertiret	desertieren	#fs_tu_77_xTok_000431	VVPP	tu_77_xTok_000431	right	no
<g/>
,	no	#fs_tu_77_xTok_000432	$,	tu_77_xTok_000432	no	no
endlichen	endlich	#fs_tu_77_xTok_000434	ADV	tu_77_xTok_000434	no	no
aber	aber	#fs_tu_77_xTok_000437	ADV	tu_77_xTok_000437	no	no
den	d	#fs_tu_77_xTok_000439	ART	tu_77_xTok_000439	no	no
11.	11	#fs_tu_77_xTok_000441	ADJA	tu_77_xTok_000441	no	no
Februarii	Februar	#fs_tu_77_xTok_000443	NN	tu_77_xTok_000443	no	no
dieses	diese	#fs_tu_77_xTok_000445	PDAT	tu_77_xTok_000445	no	no
Jahrs	Jahr	#fs_tu_77_xTok_000447	NN	tu_77_xTok_000447	no	no
bey	bei	#fs_tu_77_xTok_000449	APPR	tu_77_xTok_000449	no	no
einem	ein	#fs_tu_77_xTok_000451	ART	tu_77_xTok_000451	no	no
Tuchmacher	Tuchmacher	#fs_tu_77_xTok_000452	NN	tu_77_xTok_000452	no	no
zu	zu	#fs_tu_77_xTok_000454	APPR	tu_77_xTok_000454	no	no
Schwechat	Schwechat	#fs_tu_77_xTok_000456	NE::top	tu_77_xTok_000456	no	no
in	in	#fs_tu_77_xTok_000458	APPR	tu_77_xTok_000458	no	no
der	d	#fs_tu_77_xTok_000460	ART	tu_77_xTok_000460	no	no
Arbeit	Arbeit	#fs_tu_77_xTok_000462	NN	tu_77_xTok_000462	no	no
betretten	betreten	#fs_tu_77_xTok_000464	VVPP	tu_77_xTok_000464	no	no
worden	werden	#fs_tu_77_xTok_000466	VAPP	tu_77_xTok_000466	right	no
</p>
</doc>
